match_id,Team,id,name,short_name,skill,role,red_card,yellow_card,green_card,jersey,played,captain,on_court,starter,top_raider,top_defender,Player_points_total,raider_points_total,raider_points_touch,raider_points_raid_bonus,tackle_points_total,tackle_points_capture,tackle_points_capture_bonus,raids_total,raids_successful,raids_unsuccessful,raids_Empty,raids_total,raids_successful,raids_unsuccessful,raids_Empty,tackles_total,tackles_successful,tackles_unsuccessful
2,BEN,150,Parmod Narwal,Parmod Narwal,,,FALSE,FALSE,FALSE,25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,0,0,2,2,1,2,0,1,1,2,0,1,1,1,1,0
2,BEN,45,Gurpreet Singh,Gurpreet Singh,,,FALSE,FALSE,FALSE,4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
2,BEN,42,Dharmaraj Cheralathan,Dharmaraj Cheralathan,,,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0
2,BEN,103,Sarun Das,Sarun Das,,,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BEN,69,Manjeet Chhillar,Manjeet Chhillar,,,FALSE,FALSE,FALSE,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,15,10,10,0,5,5,1,12,6,4,2,12,6,4,2,14,4,10
2,BEN,26,Ajay Thakur,Ajay Thakur,,,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,13,10,9,1,3,3,0,15,9,3,3,15,9,3,3,12,3,9
2,BEN,113,Sunil Hanumanthappa,Sunil Hanumanthappa,,,FALSE,FALSE,FALSE,11,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
2,BEN,122,Vilam Singh,Vilam Singh,,,FALSE,FALSE,FALSE,77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BEN,59,Kiran Parmar,Kiran Parmar,,,FALSE,FALSE,FALSE,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BEN,21,Sinotharan Kanesharajah,Sinotharan Kanesharajah,,,FALSE,FALSE,FALSE,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BEN,24,Michael Adam Dubery,Michael Adam Dubery,,,FALSE,FALSE,FALSE,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
